subd_name,visual_category,visual_color
Nutrition,Healthcare & Nursing,#FF9933
Bone Joint Surgery,Healthcare & Nursing,#FF9933
Nursing Specialists,Healthcare & Nursing,#FF9933
Retinal Surgery,Healthcare & Nursing,#FF9933
Psychoanalysis,Healthcare & Nursing,#FF9933
Sports Medicine,Healthcare & Nursing,#FF9933
Hypertension,Healthcare & Nursing,#FF9933
Hospital Pharmacy,Healthcare & Nursing,#FF9933
Medical Records,Healthcare & Nursing,#FF9933
Employee Health Benefit Plans,Healthcare & Nursing,#FF9933
Substance-abuse Treatment,Healthcare & Nursing,#FF9933
Drug Discovery,Healthcare & Nursing,#FF9933
Nursing Education,Healthcare & Nursing,#FF9933
Alternative Complementary Medicine,Healthcare & Nursing,#FF9933
BioEthics,Healthcare & Nursing,#FF9933
Gerontology,Healthcare & Nursing,#FF9933
Dental Education,Healthcare & Nursing,#FF9933
Biomaterials,Healthcare & Nursing,#FF9933
Biomechanics,Healthcare & Nursing,#FF9933
Prosthetic Dentistry,Healthcare & Nursing,#FF9933
Orthodontics,Healthcare & Nursing,#FF9933
Dental Research,Healthcare & Nursing,#FF9933
Public Health Service,Healthcare & Nursing,#FF9933
Periodontology,Healthcare & Nursing,#FF9933
Mental Health Nursing,Healthcare & Nursing,#FF9933
Plastic Surgery,Healthcare & Nursing,#FF9933
Nursing Administration,Healthcare & Nursing,#FF9933
Spine,Healthcare & Nursing,#FF9933
Audiology,Healthcare & Nursing,#FF9933
General Practice,Healthcare & Nursing,#FF9933
Arthroscopy,Healthcare & Nursing,#FF9933
Medical Insurance,Healthcare & Nursing,#FF9933
Applied Physiology; Muscle,Healthcare & Nursing,#FF9933
Public Hospitals,Healthcare & Nursing,#FF9933
Behavioral Research Therapy,Healthcare & Nursing,#FF9933
Hospice Care,Healthcare & Nursing,#FF9933
AIDS Treatment,Healthcare & Nursing,#FF9933
Region & Medical Ethics,Healthcare & Nursing,#FF9933
Medical Screening & Epidemiology,Healthcare & Nursing,#FF9933
Pain,Healthcare & Nursing,#FF9933
Mental Health Assessment,Healthcare & Nursing,#FF9933
Obesity,Healthcare & Nursing,#FF9933
Forensic Medicine,Healthcare & Nursing,#FF9933
Psychiatric Services,Healthcare & Nursing,#FF9933
Addictive Behavior,Healthcare & Nursing,#FF9933
Psychiatric Nursing,Healthcare & Nursing,#FF9933
Rural Health Care,Healthcare & Nursing,#FF9933
Molecular Medicine,Healthcare & Nursing,#FF9933
Trauma,Healthcare & Nursing,#FF9933
Clinical Psychiatry,Healthcare & Nursing,#FF9933
Geriatric Nursing,Healthcare & Nursing,#FF9933
Medical Education,Healthcare & Nursing,#FF9933
Hospital Management,Healthcare & Nursing,#FF9933
Oral Surgery,Healthcare & Nursing,#FF9933
Midwifery,Healthcare & Nursing,#FF9933
Emergency Medicine,Healthcare & Nursing,#FF9933
Preventive Medicine,Healthcare & Nursing,#FF9933
Pharmaco Economics,Healthcare & Nursing,#FF9933
Medical Practice,Healthcare & Nursing,#FF9933
Otolyngology; Head Neck,Healthcare & Nursing,#FF9933
Medical Libraries,Healthcare & Nursing,#FF9933
Artificial Organs,Healthcare & Nursing,#FF9933
Physical Therapy; Orthopedic,Healthcare & Nursing,#FF9933
Public Health,Healthcare & Nursing,#FF9933
Optometry,Healthcare & Nursing,#FF9933
Perception Motor Skills,Healthcare & Nursing,#FF9933
Nursing Theory,Healthcare & Nursing,#FF9933
Laser Surgery,Healthcare & Nursing,#FF9933
Plant Physiology,Environmental & Life Sciences,#CCFF00
Marine Biology,Environmental & Life Sciences,#CCFF00
Zoology,Environmental & Life Sciences,#CCFF00
Environmental Contamination,Environmental & Life Sciences,#CCFF00
Biological Conservation,Environmental & Life Sciences,#CCFF00
Pest Management Science,Environmental & Life Sciences,#CCFF00
Comparative Animal Physiology,Environmental & Life Sciences,#CCFF00
Botany,Environmental & Life Sciences,#CCFF00
Freshwater Biology,Environmental & Life Sciences,#CCFF00
Ecology,Environmental & Life Sciences,#CCFF00
Aquaculture,Environmental & Life Sciences,#CCFF00
Molecular Biological Evolution,Environmental & Life Sciences,#CCFF00
Forest Science,Environmental & Life Sciences,#CCFF00
Molecular Biochemical Parasitology,Environmental & Life Sciences,#CCFF00
Horticulture,Environmental & Life Sciences,#CCFF00
Crop Science,Environmental & Life Sciences,#CCFF00
Soil Analysis,Environmental & Life Sciences,#CCFF00
Human Evolution,Environmental & Life Sciences,#CCFF00
Entomology,Environmental & Life Sciences,#CCFF00
Plant Ecology,Environmental & Life Sciences,#CCFF00
Parasitology,Environmental & Life Sciences,#CCFF00
Fish Research,Environmental & Life Sciences,#CCFF00
Genetics,Environmental & Life Sciences,#CCFF00
Wildlife Management,Environmental & Life Sciences,#CCFF00
Environmental Microbiology,Environmental & Life Sciences,#CCFF00
Applied Genetics,Environmental & Life Sciences,#CCFF00
Plant Disease,Environmental & Life Sciences,#CCFF00
Sociobiology,Environmental & Life Sciences,#CCFF00
Ecological Modeling,Environmental & Life Sciences,#CCFF00
Mycology,Environmental & Life Sciences,#CCFF00
Molecular Ecology,Environmental & Life Sciences,#CCFF00
Weed Management,Environmental & Life Sciences,#CCFF00
Insect Physiology,Environmental & Life Sciences,#CCFF00
Wildlife Research,Environmental & Life Sciences,#CCFF00
Fish Biology,Environmental & Life Sciences,#CCFF00
Marine Pollution,Environmental & Life Sciences,#CCFF00
Rangeland Ecology,Environmental & Life Sciences,#CCFF00
Mammals,Environmental & Life Sciences,#CCFF00
Aquatic Disease,Environmental & Life Sciences,#CCFF00
Insects,Environmental & Life Sciences,#CCFF00
Australian Ecology,Environmental & Life Sciences,#CCFF00
Crustaceans,Environmental & Life Sciences,#CCFF00
Wetlands,Environmental & Life Sciences,#CCFF00
Material Science,Engineering & Materials Science,#00F5FF
Transportation Research,Engineering & Materials Science,#00F5FF
Chemical Engineering,Engineering & Materials Science,#00F5FF
Nuclear Engineering,Engineering & Materials Science,#00F5FF
Earthquake Engineering,Engineering & Materials Science,#00F5FF
Pulp & Paper,Engineering & Materials Science,#00F5FF
Aeronautics & Astronautics,Engineering & Materials Science,#00F5FF
Gas Turbines,Engineering & Materials Science,#00F5FF
Ceramics,Engineering & Materials Science,#00F5FF
Military Aviation,Engineering & Materials Science,#00F5FF
Automotive Engineering,Engineering & Materials Science,#00F5FF
Alloys,Engineering & Materials Science,#00F5FF
Mechanical Design Engineering,Engineering & Materials Science,#00F5FF
Energy Fuel,Engineering & Materials Science,#00F5FF
Soil Quality,Engineering & Materials Science,#00F5FF
Heat Transfer,Engineering & Materials Science,#00F5FF
Cement & Concrete,Engineering & Materials Science,#00F5FF
Corrosion,Engineering & Materials Science,#00F5FF
Petroleum Engineering,Engineering & Materials Science,#00F5FF
Mechanics of Solids & Structures,Engineering & Materials Science,#00F5FF
Wood,Engineering & Materials Science,#00F5FF
Composites,Engineering & Materials Science,#00F5FF
Agricultural Engineering,Engineering & Materials Science,#00F5FF
Wool,Engineering & Materials Science,#00F5FF
Fluid Mechanics,Engineering & Materials Science,#00F5FF
Filtration Membrane,Engineering & Materials Science,#00F5FF
Machine Tools,Engineering & Materials Science,#00F5FF
Mining,Engineering & Materials Science,#00F5FF
Soil Science,Engineering & Materials Science,#00F5FF
Geotechnical Engineering,Engineering & Materials Science,#00F5FF
Fluid Engineering,Engineering & Materials Science,#00F5FF
Water Quality & Resource Management,Engineering & Materials Science,#00F5FF
Sound & Vibration,Engineering & Materials Science,#00F5FF
Ore Processing,Engineering & Materials Science,#00F5FF
Numerical Methods in Engineering,Engineering & Materials Science,#00F5FF
Electrochemistry,Engineering & Materials Science,#00F5FF
Oil & Natural Gas,Engineering & Materials Science,#00F5FF
Fluid Phase Equilibrium,Engineering & Materials Science,#00F5FF
Water Treatment,Engineering & Materials Science,#00F5FF
Vehicle System Design,Engineering & Materials Science,#00F5FF
Environmental Protection,Engineering & Materials Science,#00F5FF
Environmental Pollution,Engineering & Materials Science,#00F5FF
Safety Management,Engineering & Materials Science,#00F5FF
Pulp Paper Science,Engineering & Materials Science,#00F5FF
Textiles,Engineering & Materials Science,#00F5FF
Hydrology Soil Contamination,Engineering & Materials Science,#00F5FF
Water Policy,Engineering & Materials Science,#00F5FF
Printing,Engineering & Materials Science,#00F5FF
Industrial Chemistry,Engineering & Materials Science,#00F5FF
Ocean Coastal Management,Engineering & Materials Science,#00F5FF
Water Utilities,Engineering & Materials Science,#00F5FF
Naval Architecture,Engineering & Materials Science,#00F5FF
Oceanographic Instrumentation,Engineering & Materials Science,#00F5FF
Materials Processing,Engineering & Materials Science,#00F5FF
Metallurgy,Engineering & Materials Science,#00F5FF
Aerospace,Engineering & Materials Science,#00F5FF
Solar & Wind Power,Engineering & Materials Science,#00F5FF
Ocean Engineering,Engineering & Materials Science,#00F5FF
Dyes & Pigments,Engineering & Materials Science,#00F5FF
Water Waste,Engineering & Materials Science,#00F5FF
Construction,Engineering & Materials Science,#00F5FF
Dams & Tunnels,Engineering & Materials Science,#00F5FF
Electrochemical Development,Engineering & Materials Science,#00F5FF
Digital Printing,Engineering & Materials Science,#00F5FF
Applied Geophysics,Engineering & Materials Science,#00F5FF
Sensors & Actuators,Engineering & Materials Science,#00F5FF
Combustion,Engineering & Materials Science,#00F5FF
Fractures & Fatigue,Engineering & Materials Science,#00F5FF
Wood Components,Engineering & Materials Science,#00F5FF
Friction Lubrication & Wear,Engineering & Materials Science,#00F5FF
Acoustics,Engineering & Materials Science,#00F5FF
Waste Management,Engineering & Materials Science,#00F5FF
Defects & Diffusion in Materials,Engineering & Materials Science,#00F5FF
Welding,Engineering & Materials Science,#00F5FF
Textile Art,Engineering & Materials Science,#00F5FF
Bulk Solid Handling,Engineering & Materials Science,#00F5FF
"Chemical, Mechanical, & Civil Engineering",Engineering & Materials Science,#00F5FF
Law,Social Sciences & Economics,#F4FF00
Finance,Social Sciences & Economics,#F4FF00
Decision Support Systems,Social Sciences & Economics,#F4FF00
Business Ethics,Social Sciences & Economics,#F4FF00
Operations Research,Social Sciences & Economics,#F4FF00
Economics,Social Sciences & Economics,#F4FF00
Statistics,Social Sciences & Economics,#F4FF00
Applied Economics,Social Sciences & Economics,#F4FF00
BioStatistics,Social Sciences & Economics,#F4FF00
Research Policy; Technology Management,Social Sciences & Economics,#F4FF00
Construction & Project Management,Social Sciences & Economics,#F4FF00
Social Psychology,Social Sciences & Economics,#F4FF00
Strategic Management,Social Sciences & Economics,#F4FF00
Teacher Education; Evaluation,Social Sciences & Economics,#F4FF00
Communication Research,Social Sciences & Economics,#F4FF00
Language Learning,Social Sciences & Economics,#F4FF00
Leadership & Organizational Behavior,Social Sciences & Economics,#F4FF00
Computer-Aided Process Planning,Social Sciences & Economics,#F4FF00
Political Science,Social Sciences & Economics,#F4FF00
Political Geography,Social Sciences & Economics,#F4FF00
Higher Education,Social Sciences & Economics,#F4FF00
Urban Studies,Social Sciences & Economics,#F4FF00
Symbolic Interaction,Social Sciences & Economics,#F4FF00
Environmental Management,Social Sciences & Economics,#F4FF00
Eating Disorders; Sex Roles,Social Sciences & Economics,#F4FF00
Ethnic Migration,Social Sciences & Economics,#F4FF00
Ethnology,Social Sciences & Economics,#F4FF00
International Development,Social Sciences & Economics,#F4FF00
Political Studies,Social Sciences & Economics,#F4FF00
Vocational Counseling,Social Sciences & Economics,#F4FF00
International Conflict,Social Sciences & Economics,#F4FF00
Agricultural Economics,Social Sciences & Economics,#F4FF00
Social Work,Social Sciences & Economics,#F4FF00
Third World Political Economics,Social Sciences & Economics,#F4FF00
Sociology,Social Sciences & Economics,#F4FF00
Science Education,Social Sciences & Economics,#F4FF00
Child Development,Social Sciences & Economics,#F4FF00
Public Administration,Social Sciences & Economics,#F4FF00
Criminology,Social Sciences & Economics,#F4FF00
Personality,Social Sciences & Economics,#F4FF00
Child Abuse,Social Sciences & Economics,#F4FF00
Financial Accounting,Social Sciences & Economics,#F4FF00
Developmental Economics,Social Sciences & Economics,#F4FF00
International Economics,Social Sciences & Economics,#F4FF00
Foreign Policy,Social Sciences & Economics,#F4FF00
School Psychology,Social Sciences & Economics,#F4FF00
Environmental Law,Social Sciences & Economics,#F4FF00
Human Resource Management,Social Sciences & Economics,#F4FF00
Marital & Family Therapy,Social Sciences & Economics,#F4FF00
Econometrics,Social Sciences & Economics,#F4FF00
Educational Psychology,Social Sciences & Economics,#F4FF00
Public Policy,Social Sciences & Economics,#F4FF00
Environmental Policy,Social Sciences & Economics,#F4FF00
Regional Studies,Social Sciences & Economics,#F4FF00
Engineering Education,Social Sciences & Economics,#F4FF00
Pyschiatric & Behavioral Genetics,Social Sciences & Economics,#F4FF00
Psychosomatic Medicine,Social Sciences & Economics,#F4FF00
Operations Management,Social Sciences & Economics,#F4FF00
GeoPolitics,Social Sciences & Economics,#F4FF00
Education,Social Sciences & Economics,#F4FF00
Pragmatics & Discourse,Social Sciences & Economics,#F4FF00
Human Rights,Social Sciences & Economics,#F4FF00
Social Economics,Social Sciences & Economics,#F4FF00
Rural Studies,Social Sciences & Economics,#F4FF00
Reliability Engineering,Social Sciences & Economics,#F4FF00
Tourism,Social Sciences & Economics,#F4FF00
Education Psychological Measures,Social Sciences & Economics,#F4FF00
Marketing,Social Sciences & Economics,#F4FF00
World Trade; Law,Social Sciences & Economics,#F4FF00
Seismology,Earth Sciences,#FF0055
Oceanography,Earth Sciences,#FF0055
Paleobiology,Earth Sciences,#FF0055
Remote Sensing,Earth Sciences,#FF0055
Atmospheric Science,Earth Sciences,#FF0055
Geomorphology,Earth Sciences,#FF0055
Geology & Tectonics,Earth Sciences,#FF0055
GeoChemistry,Earth Sciences,#FF0055
Quaternary Research,Earth Sciences,#FF0055
